district,region
Alecrim,LESTE
Areia Preta,LESTE
Barro Vermelho,LESTE
Bom Pastor,OESTE
Candelária,SUL
Capim Macio,SUL
Cidade Alta,LESTE
Cidade da Esperança,OESTE
Cidade Nova,OESTE
Dix-Sept Rosado,OESTE
Felipe Camarão,OESTE
Guarapes,OESTE
Igapó,NORTE
Lagoa Azul,NORTE
Lagoa Nova,SUL
Lagoa Seca,LESTE
Mãe Luíza,LESTE
Neópolis,SUL
Nordeste,OESTE
Nossa Senhora da Apresentação,NORTE
Nossa Senhora de Nazaré,OESTE
Nova Descoberta,SUL
Pajuçara,NORTE
Petrópolis,LESTE
Pitimbu,SUL
Planalto,OESTE
Ponta Negra,SUL
Potengi,NORTE
Praia do Meio,LESTE
Quintas,OESTE
Redinha,NORTE
Ribeira,LESTE
Rocas,LESTE
Salinas,NORTE
Santos Reis,LESTE
Tirol,LESTE
